ArrayID	c Tissue
GSM60566	C7R1 cell line
GSM60578	C7R1 dim-low cell line
GSM60603	B-ALL patient 37, bone marrow
GSM60540	B-ALL patient 40, peripheral blood
GSM60546	PreB 697 cell line
GSM60537	Adult B-ALL patient, peripheral blood
GSM60536	Adult B-ALL patient, peripheral blood
GSM60579	C7R1 dim-low cell line
GSM60554	C7H2 cell line
GSM60599	B-ALL patient 32, peripheral blood
GSM60549	rat- Glucocorticoid-receptor transfected CCRF-CEM (ATCC no.: CLL-119) subclone C1
GSM60550	rat- Glucocorticoid-receptor transfected CCRF-CEM (ATCC no.: CLL-119) subclone C1
GSM60589	healthy donor HD1, peripheral blood
GSM60601	B-ALL patient 37, bone marrow
GSM60564	C7R1 cell line
GSM60592	healthy donor HD2, peripheral blood
GSM60543	C7H2 cell line
GSM60538	B-ALL patient 40, peripheral blood
GSM60593	healthy donor HD2, peripheral blood
GSM60586	PreB 697 R4G4 cell line
GSM60552	C7R1 dim-high cell line
GSM60545	PreB 697 cell line
GSM60560	CEMC1 cell line
GSM60561	CEMC1 cell line
GSM60576	C7R1 dim-low cell line
GSM60581	PreB 697 R4G4 cell line
GSM60551	C7R1 dim-high cell line
GSM60562	CEMC1 cell line
GSM60548	rat- Glucocorticoid-receptor transfected CCRF-CEM (ATCC no.: CLL-119) subclone C1
GSM60535	Adult B-ALL patient, peripheral blood
GSM60541	B-ALL patient 40, peripheral blood
GSM60539	B-ALL patient 40, peripheral blood
GSM314248	CAL1
GSM314249	MOLT4
GSM314247	CAL1
GSM314250	MOLT4
GSM214920	UET-13TR-EWS/FLI1 72hr
GSM214926	UET-13TR-EWS/ERG 48hr
GSM214922	UET-13TR-EWS/FLI1 48hr tet+
GSM214930	UET-13TR-EWS/ERG72hr tet+
GSM214928	UET-13TR-EWS/ERG 24hr tet+
GSM214924	UET-13TR-EWS/ERG 0hr
GSM214921	UET-13TR-EWS/FLI1 24hr tet+
GSM214923	UET-13TR-EWS/FLI1 72hr tet+
GSM214927	UET-13TR-EWS/ERG 72hr
GSM214918	UET-13TR-EWS/FLI1 24hr
GSM214925	UET-13TR-EWS/ERG 24hr
GSM214917	UET-13TR-EWS/FLI1 0hr
GSM214929	UET-13TR-EWS/ERG 48hr tet+
GSM214919	UET-13TR-EWS/FLI1 48hr
GSM140797	HOK/Bmi-1 cells infected with LXSN 
GSM140798	HOK/Bmi-1 cells infected with E6
GSM140799	HOK/Bmi-1 cells infected with E6(Delta)118-122.
GSM360316	HeLa cell line (human cervical carcinoma)
GSM360315	HeLa cell line (human cervical carcinoma)
GSM360314	HeLa cell line (human cervical carcinoma)
GSM239726	Colonic mucosal endoscopic pinch biopsy
GSM239727	Colonic mucosal endoscopic pinch biopsy
GSM239720	Colonic mucosal endoscopic pinch biopsy
GSM239729	Colonic mucosal endoscopic pinch biopsy
GSM240029	Colonic mucosal endoscopic pinch biopsy
GSM239731	Colonic mucosal endoscopic pinch biopsy
GSM240027	Colonic mucosal endoscopic pinch biopsy
GSM240028	Colonic mucosal endoscopic pinch biopsy
GSM239730	Colonic mucosal endoscopic pinch biopsy
GSM239719	Colonic mucosal endoscopic pinch biopsy
GSM240030	Colonic mucosal endoscopic pinch biopsy
GSM239617	Colonic mucosal endoscopic pinch biopsy
GSM239618	Colonic mucosal endoscopic pinch biopsy
GSM239716	Colonic mucosal endoscopic pinch biopsy
GSM239725	Colonic mucosal endoscopic pinch biopsy
GSM239714	Colonic mucosal endoscopic pinch biopsy
GSM240026	Colonic mucosal endoscopic pinch biopsy
GSM239732	Colonic mucosal endoscopic pinch biopsy
GSM239723	Colonic mucosal endoscopic pinch biopsy
GSM240023	Colonic mucosal endoscopic pinch biopsy
GSM240031	Colonic mucosal endoscopic pinch biopsy
GSM240024	Colonic mucosal endoscopic pinch biopsy
GSM240025	Colonic mucosal endoscopic pinch biopsy
GSM240022	Colonic mucosal endoscopic pinch biopsy
GSM239717	Colonic mucosal endoscopic pinch biopsy
GSM239718	Colonic mucosal endoscopic pinch biopsy
GSM202144	human umbilical vein endothelial cells
GSM202178	human umbilical vein endothelial cells
GSM202141	HUVECs co-cultured with CAN34 strain (Candida albicans)
GSM202184	human umbilical vein endothelial cells
GSM202181	human umbilical vein endothelial cells
GSM202176	human umbilical vein endothelial cells
GSM202183	human umbilical vein endothelial cells
GSM202182	human umbilical vein endothelial cells
GSM322417	Primary human lymphatic endothelial cells with NR2F2 knockdown
GSM322415	Primary human lymphatic endothelial cells with control knockdown
GSM322418	Primary human lymphatic endothelial cells with Prox1/NR2F2 double knockdown
GSM322416	Primary human lymphatic endothelial cells with Prox1 knockdown
GSM198958	CD8 positive T cells
GSM198943	Natural killer cells
GSM198942	Natural Killer cells
GSM198944	Natural killer cells
GSM198945	Natural killer cells
GSM198959	Lymphoid tissues
GSM265819	U937 myelomoncytic cell line, transfected with pSGMtNeo vector
GSM265817	U937 myelomoncytic cell line, transfected with HA-tagged AML1/ETO
GSM265818	U937 myelomoncytic cell line, transfected with HA-tagged AML1/ETO
GSM265820	U937 myelomoncytic cell line, transfected with pSGMtNeo vector
GSM243716	Confluent monolayers of unstimulated HUVEC exposed to DMSO (final concentration in the culture medium <0.1%) for 4h.
GSM243715	Confluent monolayers of unstimulated HUVEC exposed to DMSO (final concentration in the culture medium <0.1%) for 4h.
GSM243714	Confluent monolayers of unstimulated HUVEC exposed to dp3.9 apple procyanidins extract (final concentration in the culture medium, 10 μg mL-1) and dissolved in DMSO for 4h.
GSM243718	Confluent monolayers of HUVEC exposed to dp3.9 apple procyanidins extract (final concentration in the culture medium, 10 μg mL-1) and dissolved in DMSO for 45 min followed by addition of TNF-α (10 ng mL-1) for 6h.
GSM243713	Confluent monolayers of unstimulated HUVEC exposed to dp3.9 apple procyanidins extract (final concentration in the culture medium, 10 μg mL-1) and dissolved in DMSO for 4h.
GSM243723	Confluent monolayers of HUVEC exposed to DMSO (final concentration in the culture medium <0.1%) for 45 min followed by addition of TNF-α (10 ng mL-1) for 6h.
GSM243721	Confluent monolayers of HUVEC exposed to DMSO (final concentration in the culture medium <0.1%) for 45 min followed by addition of TNF-α (10 ng mL-1) for 6h.
GSM243720	Confluent monolayers of HUVEC exposed to dp3.9 apple procyanidins extract (final concentration in the culture medium, 10 μg mL-1) and dissolved in DMSO for 45 min followed by addition of TNF-α (10 ng mL-1) for 6h.
GSM243712	Confluent monolayers of unstimulated HUVEC exposed to dp3.9 apple procyanidins extract (final concentration in the culture medium, 10 μg mL-1) and dissolved in DMSO for 4h.
GSM243722	Confluent monolayers of HUVEC exposed to DMSO (final concentration in the culture medium <0.1%) for 45 min followed by addition of TNF-α (10 ng mL-1) for 6h.
GSM243717	Confluent monolayers of unstimulated HUVEC exposed to DMSO (final concentration in the culture medium <0.1%) for 4h.
GSM243719	Confluent monolayers of HUVEC exposed to dp3.9 apple procyanidins extract (final concentration in the culture medium, 10 μg mL-1) and dissolved in DMSO for 45 min followed by addition of TNF-α (10 ng mL-1) for 6h.
GSM333443	vastus lateralis, septic patient
GSM333440	vastus lateralis, septic patient
GSM333454	vastus lateralis, control subject
GSM333452	vastus lateralis, control subject
GSM333455	vastus lateralis, control subject
GSM333451	vastus lateralis, control subject
GSM333456	vastus lateralis, control subject
GSM333449	vastus lateralis, control subject
GSM333447	vastus lateralis, septic patient
GSM333444	vastus lateralis, septic patient
GSM333438	vastus lateralis, septic patient
GSM333446	vastus lateralis, septic patient
GSM333441	vastus lateralis, septic patient
GSM333453	vastus lateralis, control subject
GSM333450	vastus lateralis, control subject
GSM333439	vastus lateralis, septic patient
GSM333436	vastus lateralis, septic patient
GSM333448	vastus lateralis, septic patient
GSM333445	vastus lateralis, septic patient
GSM333437	vastus lateralis, septic patient
GSM333442	vastus lateralis, septic patient
GSM256196	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252827	airway epithelial cells obtained by bronchoscopy and brushing
GSM252818	airway epithelial cells obtained by bronchoscopy and brushing
GSM252824	airway epithelial cells obtained by bronchoscopy and brushing
GSM252817	airway epithelial cells obtained by bronchoscopy and brushing
GSM252825	airway epithelial cells obtained by bronchoscopy and brushing
GSM252799	airway epithelial cells obtained by bronchoscopy and brushing
GSM252807	airway epithelial cells obtained by bronchoscopy and brushing
GSM256184	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252812	airway epithelial cells obtained by bronchoscopy and brushing
GSM252803	airway epithelial cells obtained by bronchoscopy and brushing
GSM256181	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252800	airway epithelial cells obtained by bronchoscopy and brushing
GSM256187	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252820	airway epithelial cells obtained by bronchoscopy and brushing
GSM256186	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252806	airway epithelial cells obtained by bronchoscopy and brushing
GSM252816	airway epithelial cells obtained by bronchoscopy and brushing
GSM256185	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256197	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256212	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256183	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252801	airway epithelial cells obtained by bronchoscopy and brushing
GSM256190	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252805	airway epithelial cells obtained by bronchoscopy and brushing
GSM256192	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256205	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252819	airway epithelial cells obtained by bronchoscopy and brushing
GSM252808	airway epithelial cells obtained by bronchoscopy and brushing
GSM256207	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256191	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252802	airway epithelial cells obtained by bronchoscopy and brushing
GSM252815	airway epithelial cells obtained by bronchoscopy and brushing
GSM256193	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252814	airway epithelial cells obtained by bronchoscopy and brushing
GSM256201	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256208	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252804	airway epithelial cells obtained by bronchoscopy and brushing
GSM256188	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256195	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256206	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256200	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256189	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256199	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256204	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256211	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256210	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252813	airway epithelial cells obtained by bronchoscopy and brushing
GSM252826	airway epithelial cells obtained by bronchoscopy and brushing
GSM256198	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252823	airway epithelial cells obtained by bronchoscopy and brushing
GSM252810	airway epithelial cells obtained by bronchoscopy and brushing
GSM256202	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256194	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252822	airway epithelial cells obtained by bronchoscopy and brushing
GSM256182	large airway epithelial cells obtained by bronchoscopy and brushing
GSM256209	large airway epithelial cells obtained by bronchoscopy and brushing
GSM252811	airway epithelial cells obtained by bronchoscopy and brushing
GSM256203	large airway epithelial cells obtained by bronchoscopy and brushing
GSM95508	colon biopsy
GSM95482	colon biopsy
GSM95512	colon biopsy
GSM95514	colon biopsy
GSM95510	colon biopsy
GSM95479	colon biopsy
GSM95524	colon biopsy
GSM95476	colon biopsy
GSM95516	colon biopsy
GSM95488	colon biopsy
GSM95520	colon biopsy
GSM95493	colon biopsy
GSM95492	colon biopsy
GSM95523	colon biopsy
GSM95511	colon biopsy
GSM95489	colon biopsy
GSM95481	colon biopsy
GSM95509	colon biopsy
GSM95507	colon biopsy
GSM95497	colon biopsy
GSM95486	colon biopsy
GSM95474	colon biopsy
GSM95515	colon biopsy
GSM95483	colon biopsy
GSM95501	colon biopsy
GSM95503	colon biopsy
GSM95525	colon biopsy
GSM95487	colon biopsy
GSM95490	colon biopsy
GSM95475	colon biopsy
GSM95500	colon biopsy
GSM95498	colon biopsy
GSM95495	colon biopsy
GSM95484	colon biopsy
GSM95477	colon biopsy
GSM95506	colon biopsy
GSM95505	colon biopsy
GSM95519	colon biopsy
GSM95480	colon biopsy
GSM95478	colon biopsy
GSM95521	colon biopsy
GSM95499	colon biopsy
GSM95485	colon biopsy
GSM95513	colon biopsy
GSM95473	colon biopsy
GSM95504	colon biopsy
GSM95522	colon biopsy
GSM95496	colon biopsy
GSM95518	colon biopsy
GSM95491	colon biopsy
GSM95517	colon biopsy
GSM95494	colon biopsy
GSM95502	colon biopsy
GSM421938	erythema nodosum leprosum
GSM422264	lepromatous leprosy
GSM422233	lepromatous leprosy
GSM422291	lepromatous leprosy
GSM421937	erythema nodosum leprosum
GSM422243	lepromatous leprosy
GSM422278	erythema nodosum leprosum
GSM422279	erythema nodosum leprosum
GSM422265	erythema nodosum leprosum
GSM422290	erythema nodosum leprosum
GSM422263	lepromatous leprosy
GSM422232	lepromatous leprosy
GSM422234	lepromatous leprosy
GSM142450	A2780 ovarian carcinoma cell line
GSM142449	A2780 ovarian carcinoma cell line
GSM142448	A2780 ovarian carcinoma cell line
GSM142451	A2780 ovarian carcinoma cell line
GSM142447	A2780 ovarian carcinoma cell line
GSM142452	A2780 ovarian carcinoma cell line
GSM158786	Blasts and mononuclear cells, AML patient
GSM158927	Blasts and mononuclear cells, AML patient
GSM158802	Blasts and mononuclear cells, AML patient
GSM158772	Blasts and mononuclear cells, AML patient
GSM158894	Blasts and mononuclear cells, AML patient
GSM159051	Blasts and mononuclear cells, AML patient
GSM158730	Blasts and mononuclear cells, AML patient
GSM361328	Blasts and mononuclear cells, AML patient
GSM159107	Blasts and mononuclear cells, AML patient
GSM159046	Blasts and mononuclear cells, AML patient
GSM361375	Blasts and mononuclear cells, AML patient
GSM159018	Blasts and mononuclear cells, AML patient
GSM158784	Blasts and mononuclear cells, AML patient
GSM158847	Blasts and mononuclear cells, AML patient
GSM159126	Blasts and mononuclear cells, AML patient
GSM159035	Blasts and mononuclear cells, AML patient
GSM159000	Blasts and mononuclear cells, AML patient
GSM158810	Blasts and mononuclear cells, AML patient
GSM159072	Blasts and mononuclear cells, AML patient
GSM158794	Blasts and mononuclear cells, AML patient
GSM158851	Blasts and mononuclear cells, AML patient
GSM158964	Blasts and mononuclear cells, AML patient
GSM159144	Blasts and mononuclear cells, AML patient
GSM158749	Blasts and mononuclear cells, AML patient
GSM158889	Blasts and mononuclear cells, AML patient
GSM361341	Blasts and mononuclear cells, AML patient
GSM159110	Blasts and mononuclear cells, AML patient
GSM159153	Blasts and mononuclear cells, AML patient
GSM158716	Blasts and mononuclear cells, AML patient
GSM159068	Blasts and mononuclear cells, AML patient
GSM158762	Blasts and mononuclear cells, AML patient
GSM158952	Blasts and mononuclear cells, AML patient
GSM159109	Blasts and mononuclear cells, AML patient
GSM361374	Blasts and mononuclear cells, AML patient
GSM158940	Blasts and mononuclear cells, AML patient
GSM158768	Blasts and mononuclear cells, AML patient
GSM158745	Blasts and mononuclear cells, AML patient
GSM361382	Blasts and mononuclear cells, AML patient
GSM158960	Blasts and mononuclear cells, AML patient
GSM361370	Blasts and mononuclear cells, AML patient
GSM159065	Blasts and mononuclear cells, AML patient
GSM159170	Blasts and mononuclear cells, AML patient
GSM159053	Blasts and mononuclear cells, AML patient
GSM159049	Blasts and mononuclear cells, AML patient
GSM158897	Blasts and mononuclear cells, AML patient
GSM158718	Blasts and mononuclear cells, AML patient
GSM158821	Blasts and mononuclear cells, AML patient
GSM159029	Blasts and mononuclear cells, AML patient
GSM158812	Blasts and mononuclear cells, AML patient
GSM159045	Blasts and mononuclear cells, AML patient
GSM158999	Blasts and mononuclear cells, AML patient
GSM159063	Blasts and mononuclear cells, AML patient
GSM158912	Blasts and mononuclear cells, AML patient
GSM158723	Blasts and mononuclear cells, AML patient
GSM158855	Blasts and mononuclear cells, AML patient
GSM158963	Blasts and mononuclear cells, AML patient
GSM158766	Blasts and mononuclear cells, AML patient
GSM158955	Blasts and mononuclear cells, AML patient
GSM158938	Blasts and mononuclear cells, AML patient
GSM159007	Blasts and mononuclear cells, AML patient
GSM158845	Blasts and mononuclear cells, AML patient
GSM158715	Blasts and mononuclear cells, AML patient
GSM158981	Blasts and mononuclear cells, AML patient
GSM158882	Blasts and mononuclear cells, AML patient
GSM158869	Blasts and mononuclear cells, AML patient
GSM158729	Blasts and mononuclear cells, AML patient
GSM159077	Blasts and mononuclear cells, AML patient
GSM158758	Blasts and mononuclear cells, AML patient
GSM361342	Blasts and mononuclear cells, AML patient
GSM158932	Blasts and mononuclear cells, AML patient
GSM158775	Blasts and mononuclear cells, AML patient
GSM159141	Blasts and mononuclear cells, AML patient
GSM158917	Blasts and mononuclear cells, AML patient
GSM159130	Blasts and mononuclear cells, AML patient
GSM158966	Blasts and mononuclear cells, AML patient
GSM159133	Blasts and mononuclear cells, AML patient
GSM158824	Blasts and mononuclear cells, AML patient
GSM158788	Blasts and mononuclear cells, AML patient
GSM159083	Blasts and mononuclear cells, AML patient
GSM158883	Blasts and mononuclear cells, AML patient
GSM158711	Blasts and mononuclear cells, AML patient
GSM361335	Blasts and mononuclear cells, AML patient
GSM158782	Blasts and mononuclear cells, AML patient
GSM159157	Blasts and mononuclear cells, AML patient
GSM158744	Blasts and mononuclear cells, AML patient
GSM159121	Blasts and mononuclear cells, AML patient
GSM159135	Blasts and mononuclear cells, AML patient
GSM158793	Blasts and mononuclear cells, AML patient
GSM158859	Blasts and mononuclear cells, AML patient
GSM158719	Blasts and mononuclear cells, AML patient
GSM159059	Blasts and mononuclear cells, AML patient
GSM158757	Blasts and mononuclear cells, AML patient
GSM158910	Blasts and mononuclear cells, AML patient
GSM159094	Blasts and mononuclear cells, AML patient
GSM159106	Blasts and mononuclear cells, AML patient
GSM158990	Blasts and mononuclear cells, AML patient
GSM158820	Blasts and mononuclear cells, AML patient
GSM158755	Blasts and mononuclear cells, AML patient
GSM158726	Blasts and mononuclear cells, AML patient
GSM159001	Blasts and mononuclear cells, AML patient
GSM361354	Blasts and mononuclear cells, AML patient
GSM158737	Blasts and mononuclear cells, AML patient
GSM158871	Blasts and mononuclear cells, AML patient
GSM158807	Blasts and mononuclear cells, AML patient
GSM361330	Blasts and mononuclear cells, AML patient
GSM159093	Blasts and mononuclear cells, AML patient
GSM158748	Blasts and mononuclear cells, AML patient
GSM158888	Blasts and mononuclear cells, AML patient
GSM159071	Blasts and mononuclear cells, AML patient
GSM159060	Blasts and mononuclear cells, AML patient
GSM159024	Blasts and mononuclear cells, AML patient
GSM158959	Blasts and mononuclear cells, AML patient
GSM158877	Blasts and mononuclear cells, AML patient
GSM158741	Blasts and mononuclear cells, AML patient
GSM159048	Blasts and mononuclear cells, AML patient
GSM361360	Blasts and mononuclear cells, AML patient
GSM159117	Blasts and mononuclear cells, AML patient
GSM158901	Blasts and mononuclear cells, AML patient
GSM361326	Blasts and mononuclear cells, AML patient
GSM361321	Blasts and mononuclear cells, AML patient
GSM158753	Blasts and mononuclear cells, AML patient
GSM158763	Blasts and mononuclear cells, AML patient
GSM159025	Blasts and mononuclear cells, AML patient
GSM361356	Blasts and mononuclear cells, AML patient
GSM159032	Blasts and mononuclear cells, AML patient
GSM158736	Blasts and mononuclear cells, AML patient
GSM159128	Blasts and mononuclear cells, AML patient
GSM158953	Blasts and mononuclear cells, AML patient
GSM159015	Blasts and mononuclear cells, AML patient
GSM158809	Blasts and mononuclear cells, AML patient
GSM159115	Blasts and mononuclear cells, AML patient
GSM158846	Blasts and mononuclear cells, AML patient
GSM159016	Blasts and mononuclear cells, AML patient
GSM158714	Blasts and mononuclear cells, AML patient
GSM158770	Blasts and mononuclear cells, AML patient
GSM361357	Blasts and mononuclear cells, AML patient
GSM159030	Blasts and mononuclear cells, AML patient
GSM158995	Blasts and mononuclear cells, AML patient
GSM158986	Blasts and mononuclear cells, AML patient
GSM158818	Blasts and mononuclear cells, AML patient
GSM158835	Blasts and mononuclear cells, AML patient
GSM158873	Blasts and mononuclear cells, AML patient
GSM361367	Blasts and mononuclear cells, AML patient
GSM158844	Blasts and mononuclear cells, AML patient
GSM159105	Blasts and mononuclear cells, AML patient
GSM159039	Blasts and mononuclear cells, AML patient
GSM158825	Blasts and mononuclear cells, AML patient
GSM158969	Blasts and mononuclear cells, AML patient
GSM159061	Blasts and mononuclear cells, AML patient
GSM158731	Blasts and mononuclear cells, AML patient
GSM158868	Blasts and mononuclear cells, AML patient
GSM159158	Blasts and mononuclear cells, AML patient
GSM158853	Blasts and mononuclear cells, AML patient
GSM361355	Blasts and mononuclear cells, AML patient
GSM159034	Blasts and mononuclear cells, AML patient
GSM159151	Blasts and mononuclear cells, AML patient
GSM158861	Blasts and mononuclear cells, AML patient
GSM158836	Blasts and mononuclear cells, AML patient
GSM361359	Blasts and mononuclear cells, AML patient
GSM159066	Blasts and mononuclear cells, AML patient
GSM159005	Blasts and mononuclear cells, AML patient
GSM159123	Blasts and mononuclear cells, AML patient
GSM361340	Blasts and mononuclear cells, AML patient
GSM159131	Blasts and mononuclear cells, AML patient
GSM158985	Blasts and mononuclear cells, AML patient
GSM159090	Blasts and mononuclear cells, AML patient
GSM158870	Blasts and mononuclear cells, AML patient
GSM159099	Blasts and mononuclear cells, AML patient
GSM159139	Blasts and mononuclear cells, AML patient
GSM159149	Blasts and mononuclear cells, AML patient
GSM159050	Blasts and mononuclear cells, AML patient
GSM159165	Blasts and mononuclear cells, AML patient
GSM158944	Blasts and mononuclear cells, AML patient
GSM159129	Blasts and mononuclear cells, AML patient
GSM158945	Blasts and mononuclear cells, AML patient
GSM158848	Blasts and mononuclear cells, AML patient
GSM158876	Blasts and mononuclear cells, AML patient
GSM158795	Blasts and mononuclear cells, AML patient
GSM159017	Blasts and mononuclear cells, AML patient
GSM158831	Blasts and mononuclear cells, AML patient
GSM159150	Blasts and mononuclear cells, AML patient
GSM158834	Blasts and mononuclear cells, AML patient
GSM158866	Blasts and mononuclear cells, AML patient
GSM361331	Blasts and mononuclear cells, AML patient
GSM159064	Blasts and mononuclear cells, AML patient
GSM361324	Blasts and mononuclear cells, AML patient
GSM159169	Blasts and mononuclear cells, AML patient
GSM158915	Blasts and mononuclear cells, AML patient
GSM158826	Blasts and mononuclear cells, AML patient
GSM159079	Blasts and mononuclear cells, AML patient
GSM159138	Blasts and mononuclear cells, AML patient
GSM158781	Blasts and mononuclear cells, AML patient
GSM158867	Blasts and mononuclear cells, AML patient
GSM361380	Blasts and mononuclear cells, AML patient
GSM158742	Blasts and mononuclear cells, AML patient
GSM158878	Blasts and mononuclear cells, AML patient
GSM159085	Blasts and mononuclear cells, AML patient
GSM361377	Blasts and mononuclear cells, AML patient
GSM159124	Blasts and mononuclear cells, AML patient
GSM159163	Blasts and mononuclear cells, AML patient
GSM158789	Blasts and mononuclear cells, AML patient
GSM158804	Blasts and mononuclear cells, AML patient
GSM361385	Blasts and mononuclear cells, AML patient
GSM159055	Blasts and mononuclear cells, AML patient
GSM158863	Blasts and mononuclear cells, AML patient
GSM158979	Blasts and mononuclear cells, AML patient
GSM159013	Blasts and mononuclear cells, AML patient
GSM158893	Blasts and mononuclear cells, AML patient
GSM158722	Blasts and mononuclear cells, AML patient
GSM361381	Blasts and mononuclear cells, AML patient
GSM158967	Blasts and mononuclear cells, AML patient
GSM158951	Blasts and mononuclear cells, AML patient
GSM159100	Blasts and mononuclear cells, AML patient
GSM361353	Blasts and mononuclear cells, AML patient
GSM159127	Blasts and mononuclear cells, AML patient
GSM158791	Blasts and mononuclear cells, AML patient
GSM159148	Blasts and mononuclear cells, AML patient
GSM158930	Blasts and mononuclear cells, AML patient
GSM159159	Blasts and mononuclear cells, AML patient
GSM158937	Blasts and mononuclear cells, AML patient
GSM159155	Blasts and mononuclear cells, AML patient
GSM158816	Blasts and mononuclear cells, AML patient
GSM159096	Blasts and mononuclear cells, AML patient
GSM158874	Blasts and mononuclear cells, AML patient
